ID,Gender,Percent_SSC,Board_SSC,Percent_HSC,Board_HSC,Stream_HSC,Percent_Degree,Course_Degree,Experience_Yrs,Entrance_Test,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Specialization_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA
205,F,64.5,CBSE,65.0,ISC,Science,68.0,Computer Applications,0,MAT,1,57.2,57.2,54.8,Marketing & HR,61,75,50
206,M,63.68,Others,58.19,Others,Commerce,72.24,Commerce,0,MAT,1,36.56,36.56,66.18,Marketing & Finance,71,73,63
207,M,66.0,CBSE,66.33,CBSE,Commerce,66.72,Commerce,0,,0,0.0,0.0,66.92,Marketing & Finance,70,73,64
208,M,73.76,Others,73.5,Others,Commerce,63.5,Management,2,MAT,1,73.35,73.35,64.15,Marketing & Finance,68,78,65
209,M,70.0,CBSE,55.0,Others,Science,72.0,Management,0,CAT,1,50.0,50.0,67.94,Marketing & Finance,77,70,54
210,F,55.0,Others,57.0,Others,Science,57.0,Science,1,MAT,1,67.0,67.0,59.32,Marketing & HR,50,67,59
211,M,74.0,Others,85.0,Others,Commerce,60.0,Commerce,0,MAT,1,58.89,58.89,60.36,Marketing & Finance,64,67,63
212,M,59.2,CBSE,68.0,Others,Science,60.0,Management,1,MAT,1,79.0,79.0,58.44,Marketing & HR,52,64,63
213,M,46.0,Others,41.0,Others,Commerce,43.0,Commerce,1,MAT,1,64.0,64.0,58.85,Marketing & Finance,52,73,67
214,M,62.0,ICSE,66.0,CBSE,Science,60.33,Arts,1,MAT,1,64.0,64.0,61.26,Marketing & HR,53,56,80
215,F,73.0,Others,74.0,Others,Science,56.0,Management,0,K-MAT,1,96.0,96.0,61.41,Marketing & Finance,69,68,70
216,M,81.0,Others,87.9,Others,Science,58.5,Engineering,0,MAT,1,86.04,86.04,59.42,Marketing & Finance,50,67,58
217,F,70.0,Others,55.0,Others,Science,62.0,Management,0,MAT,1,89.0,89.0,60.5,Marketing & Finance,50,79,70
