ID,Gender,Percent_SSC,Board_SSC,Percent_HSC,Board_HSC,Stream_HSC,Percent_Degree,Course_Degree,Experience_Yrs,Entrance_Test,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Specialization_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA
55,M,81.86,Others,62.0,Others,Science,76.0,Management,0,MAT,1,95.5,95.5,68.53,Marketing & Finance,54,67,77
56,M,59.4,CBSE,66.12,CBSE,Commerce,58.2,Management,0,MAT,1,67.0,67.0,62.65,Marketing & HR,54,65,53
57,M,70.24,Others,42.83,Others,Science,60.27,Engineering,2,MAT,1,64.0,64.0,66.23,Marketing & Finance,65,82,79
58,M,63.2,CBSE,67.8,CBSE,Commerce,62.6,Commerce,2,MAT,1,96.0,96.0,70.85,Marketing & Finance,53,76,72
59,M,54.07,Others,70.33,Others,Commerce,59.0,Commerce,1,MAT,1,48.38,48.38,55.87,Marketing & HR,58,56,54
60,M,65.0,CBSE,55.0,ISC,Science,60.0,Science,0,MAT,1,61.28,61.28,60.11,Marketing & HR,62,72,65
61,M,60.0,CBSE,63.0,CBSE,Arts,58.0,Management,0,MAT,1,75.0,75.0,57.8,Marketing & Finance,54,66,62
62,M,78.0,Others,63.0,Others,Science,58.0,Engineering,0,MAT,1,93.0,93.0,62.56,Marketing & Finance,58,67,70
63,M,73.0,Others,48.0,Others,Science,56.0,Commerce,0,,0,0.0,0.0,60.03,Marketing & HR,50,73,58
64,M,62.0,Others,62.0,Others,Commerce,71.0,Commerce,3,MAT,1,59.0,59.0,69.72,Marketing & Finance,63,71,61
65,F,75.0,ICSE,74.0,Others,Commerce,78.0,Commerce,0,MAT,1,60.0,60.0,66.72,Marketing & Finance,71,69,67
66,M,60.0,Others,52.8,Others,Science,73.25,Computer Applications,1,MAT,1,55.0,55.0,51.58,Marketing & Finance,53,52,58
67,F,74.0,ICSE,84.0,ISC,Commerce,53.0,Commerce,0,MAT,1,68.0,68.0,68.63,Marketing & Finance,71,86,54
68,M,66.08,Others,53.0,Others,Science,56.0,Engineering,0,MAT,1,71.0,71.0,65.69,Marketing & Finance,58,75,73
69,M,54.0,Others,60.0,Others,Commerce,60.0,Commerce,0,MAT,1,50.0,50.0,56.7,Marketing & HR,55,69,59
70,M,78.0,Others,78.0,Others,Science,51.0,Science,0,,0,0.0,0.0,55.02,Marketing & Finance,54,56,50
71,M,67.0,Others,55.0,Others,Science,75.5,Computer Applications,1,MAT,1,78.0,78.0,54.48,Marketing & Finance,53,68,77
72,M,67.0,Others,54.0,Others,Science,54.0,Arts,1,MAT,1,68.44,68.44,62.77,Marketing & HR,59,68,60
73,M,82.8,CBSE,70.6,CBSE,Commerce,69.3,Commerce,0,MAT,1,96.8,96.8,55.5,Marketing & Finance,65,76,70
74,M,60.0,ICSE,59.8,Others,Commerce,65.5,Commerce,1,MAT,1,56.0,56.0,56.94,Marketing & Finance,57,65,50
75,M,75.0,Others,65.0,Others,Science,59.0,Computer Applications,1,,0,0.0,0.0,56.19,Marketing & Finance,57,50,71
76,F,70.0,Others,54.0,Others,Science,65.0,Others,2,,0,0.0,0.0,59.8,Marketing & HR,63,56,50
77,F,46.0,CBSE,65.0,Others,Science,71.0,Management,0,MAT,1,92.66,92.66,62.92,Marketing & HR,55,71,82
78,M,59.0,CBSE,62.0,CBSE,Commerce,50.0,Commerce,0,CAT,1,79.0,79.0,56.51,Marketing & Finance,58,61,50
79,M,77.0,Others,68.0,Others,Commerce,73.0,Commerce,0,MAT,1,61.0,61.0,58.78,Marketing & Finance,52,68,74
80,M,60.0,CBSE,74.0,CBSE,Commerce,65.0,Management,0,MAT,1,60.0,60.0,61.82,Marketing & HR,57,72,50
81,F,78.89,Others,79.98,Others,Science,71.6,Management,0,MAT,1,68.0,68.0,71.63,Marketing & HR,71,76,64
82,F,37.3,Others,44.4,Others,Commerce,35.0,Commerce,0,,0,0.0,0.0,61.66,Marketing & Finance,62,66,69
83,M,60.4,ICSE,51.8,ISC,Commerce,74.8,Commerce,0,K-MAT,1,94.3,94.3,51.24,Marketing & Finance,53,50,50
84,M,55.0,ICSE,68.0,Others,Science,71.0,Science,1,MAT,1,86.0,86.0,56.09,Marketing & HR,58,65,58
85,F,74.44,ICSE,89.0,Others,Commerce,70.0,Commerce,1,MAT,1,94.0,94.0,67.13,Marketing & Finance,70,69,63
86,M,69.0,CBSE,65.0,CBSE,Science,68.0,Management,1,MAT,1,60.0,60.0,57.24,Marketing & Finance,50,67,51
87,M,62.0,CBSE,64.3,CBSE,Commerce,66.0,Management,0,,0,0.0,0.0,59.84,Marketing & HR,55,59,63
88,M,48.6,CBSE,59.8,CBSE,Commerce,66.2,Management,0,MAT,1,84.27,84.27,67.2,Marketing & Finance,52,70,71
89,M,59.0,ICSE,81.0,Others,Commerce,70.0,Commerce,0,,0,0.0,0.0,71.86,Marketing & Finance,79,73,66
90,M,82.6,CBSE,64.0,CBSE,Science,56.0,Management,1,PGCET,1,0.0,0.0,68.85,Marketing & Finance,71,76,60
91,F,68.0,CBSE,74.0,CBSE,Commerce,70.0,Management,2,MAT,1,68.0,68.0,64.08,Marketing & HR,63,79,77
92,M,58.0,CBSE,75.0,Others,Science,68.0,Engineering,1,,0,0.0,0.0,55.6,Marketing & Finance,53,75,52
93,M,57.0,CBSE,62.4,CBSE,Commerce,48.0,Commerce,1,MAT,1,66.6,66.6,56.75,Marketing & Finance,52,71,69
94,M,70.0,CBSE,75.0,CBSE,Commerce,60.0,Commerce,0,MAT,1,77.0,77.0,51.29,Marketing & Finance,60,56,52
95,F,81.0,CBSE,81.0,CBSE,Commerce,82.2,Management,0,,0,0.0,0.0,66.9,Marketing & Finance,68,68,76
96,M,69.2,CBSE,84.6,Others,Commerce,75.25,Commerce,1,MAT,1,75.2,75.2,66.06,Marketing & Finance,66,74,55
97,M,84.0,CBSE,69.0,CBSE,Science,61.0,Engineering,2,MAT,1,75.0,75.0,72.29,Marketing & HR,83,62,66
98,M,58.0,CBSE,67.0,CBSE,Commerce,64.0,Commerce,0,MAT,1,78.0,78.0,60.44,Marketing & HR,54,70,60
99,F,50.0,CBSE,60.0,Others,Science,71.0,Management,0,MAT,1,62.0,62.0,65.04,Marketing & HR,55,61,59
100,M,50.0,Others,52.0,Others,Science,70.0,Computer Applications,0,MAT,1,74.0,74.0,53.62,Marketing & Finance,50,74,50
101,M,68.4,ICSE,85.6,ISC,Commerce,72.0,Commerce,1,CAT,1,70.0,70.0,63.26,Marketing & Finance,75,72,57
102,M,58.0,CBSE,70.0,Others,Science,67.75,Engineering,1,,0,0.0,0.0,57.68,Marketing & Finance,67,74,53
103,F,56.0,ICSE,74.6,ISC,Commerce,60.2,Commerce,2,,0,0.0,0.0,63.53,Marketing & Finance,65,76,80
104,F,76.0,ICSE,82.0,ISC,Commerce,70.8,Commerce,1,,0,0.0,0.0,69.52,Marketing & Finance,69,74,71
105,M,68.0,CBSE,75.0,Others,Commerce,61.0,Commerce,2,MAT,1,95.46,95.46,62.16,Marketing & Finance,62,72,73
106,F,78.5,ICSE,70.5,Others,Commerce,65.0,Commerce,0,MAT,1,93.91,93.91,69.03,Marketing & Finance,70,73,80
107,M,55.4,CBSE,61.6,Others,Science,59.0,Management,0,MAT,1,71.0,71.0,52.71,Marketing & HR,56,67,52
108,M,70.0,CBSE,76.0,CBSE,Commerce,68.0,Management,0,MAT,1,91.34,91.34,61.29,Marketing & Finance,63,63,75
109,M,64.96,Others,45.16,Others,Science,65.26,Computer Applications,1,MAT,1,54.48,54.48,65.48,Marketing & HR,69,75,61
110,M,40.53,Others,64.75,Others,Commerce,54.35,Commerce,1,,0,0.0,0.0,54.35,Marketing & Finance,52,73,67
111,F,70.0,Others,50.0,Others,Science,60.0,Management,0,MAT,1,53.7,53.7,56.86,Marketing & HR,53,63,56
112,M,64.0,Others,52.0,Others,Commerce,61.0,Management,0,MAT,1,87.55,87.55,52.81,Marketing & Finance,54,60,67
113,F,82.3,Others,73.0,Others,Science,72.3,Science,1,,0,0.0,0.0,69.35,Marketing & Finance,74,68,84
114,F,74.0,Others,53.0,Others,Commerce,64.0,Management,2,MAT,1,57.5,57.5,61.31,Marketing & Finance,62,73,54
115,F,65.0,CBSE,78.0,Others,Commerce,75.0,Commerce,1,CAT,1,53.0,53.0,60.91,Marketing & Finance,56,73,69
116,F,58.29,Others,55.0,Others,Science,61.0,Management,0,K-MAT,1,71.0,71.0,56.81,Marketing & Finance,64,66,57
117,M,64.0,CBSE,55.0,Others,Science,59.0,Management,1,MAT,1,55.0,55.0,58.23,Marketing & HR,59,72,68
118,M,65.0,CBSE,57.0,CBSE,Commerce,57.0,Commerce,0,,0,0.0,0.0,59.1,Marketing & Finance,54,59,61
119,M,55.0,Others,52.0,Others,Commerce,54.2,Management,0,CAT,1,20.0,20.0,55.83,Marketing & Finance,54,63,68
120,M,54.0,Others,52.0,Others,Science,62.0,Science,2,K-MAT,1,86.0,86.0,61.79,Marketing & HR,67,79,68
121,M,46.0,CBSE,54.0,Others,Commerce,65.0,Management,0,MAT,1,71.32,71.32,52.36,Marketing & Finance,50,72,58
122,F,72.0,ICSE,57.8,Others,Science,49.8,Management,1,,0,0.0,0.0,53.47,Marketing & HR,73,58,50
123,F,64.0,Others,57.0,Others,Commerce,65.0,Management,1,MAT,1,67.0,67.0,62.35,Marketing & HR,56,67,52
124,M,79.0,CBSE,59.0,CBSE,Science,60.0,Science,1,MAT,1,67.0,67.0,62.14,Marketing & Finance,54,78,62
125,F,82.0,Others,87.0,Others,Commerce,80.0,Commerce,0,MAT,1,92.0,92.0,68.03,Marketing & Finance,76,69,74
126,F,74.0,Others,68.0,Others,Commerce,79.0,Management,1,MAT,1,89.0,89.0,69.7,Marketing & Finance,68,77,76
127,M,78.0,Others,47.0,Others,Science,53.0,Engineering,0,K-MAT,1,84.0,84.0,56.12,Marketing & Finance,60,66,68
128,M,66.0,Others,46.0,Others,Commerce,65.0,Management,0,PGCET,1,0.0,0.0,54.65,Marketing & Finance,53,60,65
129,F,49.0,Others,52.2,Others,Commerce,85.0,Commerce,0,MAT,1,74.28,74.28,53.29,Marketing & Finance,50,65,74
130,M,49.0,Others,55.0,Others,Science,57.0,Science,1,MAT,1,49.0,49.0,58.56,Marketing & Finance,50,59,55
131,M,70.0,CBSE,75.0,CBSE,Science,71.0,Science,1,MAT,1,85.0,85.0,65.83,Marketing & HR,63,64,79
132,M,75.9,Others,70.0,Others,Science,73.0,Engineering,1,MAT,1,58.1,58.1,75.71,Marketing & Finance,70,74,71
133,F,76.0,Others,56.0,Others,Science,73.5,Engineering,1,MAT,1,70.0,70.0,68.2,Marketing & Finance,55,76,61
134,F,80.32,Others,55.0,Others,Science,50.0,Engineering,0,PGCET,1,0.0,0.0,62.29,Marketing & IB,67,70,76
135,F,53.44,Others,70.0,Others,Arts,70.0,Management,0,K-MAT,1,14.99,14.99,57.98,Marketing & Finance,56,77,61
136,F,71.0,ICSE,52.0,Others,Science,65.0,Management,0,MAT,1,78.0,78.0,65.56,Marketing & HR,66,84,77
137,M,60.0,ICSE,65.0,Others,Science,67.0,Arts,1,,0,0.0,0.0,55.4,Marketing & HR,50,67,50
138,M,72.64,Others,47.34,Others,Science,83.33,Computer Applications,0,CAT,1,73.0,73.0,65.8,Marketing & HR,72,75,78
139,F,48.0,Others,62.0,Others,Commerce,62.0,Management,1,MAT,1,56.39,56.39,64.95,Marketing & HR,72,66,64
140,F,84.0,CBSE,72.0,CBSE,Science,78.0,Science,0,MAT,1,58.0,58.0,66.53,Marketing & HR,71,58,50
141,F,78.7,Others,71.0,Others,Commerce,49.0,Commerce,0,MAT,1,92.0,92.0,66.86,Marketing & Finance,60,50,77
142,M,87.2,Others,67.5,Others,Science,60.31,Engineering,1,K-MAT,1,88.0,88.0,70.1,Marketing & HR,69,77,73
143,F,85.0,ICSE,67.0,CBSE,Science,76.0,Arts,0,MAT,1,82.0,82.0,71.43,Marketing & HR,68,75,80
144,M,78.0,Others,52.0,ISC,Science,66.0,Management,1,K-MAT,1,79.0,79.0,52.41,Marketing & IB,53,57,54
145,F,60.0,Others,57.0,Others,Science,60.0,Science,0,,0,0.0,0.0,59.15,Marketing & Finance,50,65,63
146,M,61.0,CBSE,52.0,Others,Science,50.0,Commerce,1,,0,0.0,0.0,65.13,Marketing & Finance,65,70,66
147,M,55.0,CBSE,61.2,CBSE,Commerce,59.6,Management,1,MAT,1,60.0,60.0,62.54,Marketing & Finance,67,66,58
148,F,52.0,Others,59.0,Others,Arts,38.0,Arts,1,MAT,1,40.0,40.0,62.01,Marketing & HR,52,69,64
149,M,50.0,Others,53.0,Others,Commerce,55.0,Management,0,MAT,1,58.0,58.0,53.94,Marketing & HR,50,70,55
150,M,59.0,ICSE,90.0,Others,Commerce,67.0,Computer Applications,0,MAT,1,50.0,50.0,59.47,Marketing & Finance,63,77,66
151,F,67.67,ICSE,75.0,Others,Commerce,67.8,Commerce,0,MAT,1,49.94,49.94,67.44,Marketing & Finance,72,66,69
152,M,59.6,CBSE,80.83,Others,Commerce,67.72,Commerce,0,MAT,1,86.0,86.0,59.75,Marketing & Finance,54,68,60
153,M,53.3,CBSE,57.5,ISC,Commerce,59.7,Management,0,,0,0.0,0.0,56.11,Marketing & HR,57,70,71
154,M,53.43,Others,64.93,Others,Commerce,53.0,Management,1,GCET,1,40.0,40.0,60.76,Marketing & Finance,51,73,66
155,F,64.8,Others,52.8,Others,Science,68.23,Engineering,0,MAT,1,55.53,55.53,68.81,Marketing & IB,68,63,60
156,M,55.0,ICSE,64.0,CBSE,Commerce,50.0,Commerce,0,,0,0.0,0.0,56.81,Marketing & Finance,53,70,53
157,M,56.0,Others,57.0,Others,Commerce,59.0,Commerce,0,MAT,1,62.0,62.0,56.81,Marketing & Finance,50,73,50
158,M,69.0,Others,51.0,Others,Commerce,69.0,Management,1,MAT,1,60.0,60.0,56.7,Marketing & HR,52,60,72
159,M,81.2,CBSE,64.4,CBSE,Science,59.0,Engineering,1,MAT,1,80.0,80.0,52.72,Marketing & HR,62,67,65
